,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
376,Ambilobe,MG,1529261937,-13.19,49.05,76.33,63,1.36,32
377,Hovd,MN,1529261554,48.01,91.64,53.66,55,1.59,8
378,Teruel,ES,1529260200,40.34,-1.11,75.2,57,6.93,0
379,Arlit,NE,1529261568,18.74,7.39,103.88,11,4.61,80
380,Pangnirtung,CA,1529258400,66.15,-65.72,37.4,93,9.17,40
381,Aksay,KZ,1529261937,51.17,53.01,65.89,36,8.19,0
382,Cidreira,BR,1529261573,-30.17,-50.22,59.51,78,6.96,0
383,Rikitea,PF,1529261938,-23.12,-134.97,75.43,100,30.78,80
384,Mahibadhoo,MV,1529261938,3.78,72.97,83.26,100,6.29,92
385,Magadi,KE,1529261938,-1.9,36.29,61.58,100,2.59,80
386,Ilulissat,GL,1529257800,69.22,-51.1,44.6,82,4.7,75
387,Shestakovo,RU,1529261938,56.49,103.96,51.86,84,2.37,0
388,Tongren,CN,1529261938,27.72,109.18,72.38,92,2.71,12
389,Barra do Garcas,BR,1529261929,-15.89,-52.26,88.03,35,9.86,0
390,Naantali,FI,1529259600,60.45,22.03,71.6,46,8.05,8
391,Kafue,ZM,1529261939,-15.74,28.18,65.53,48,8.75,0
392,La Palma,PA,1529261939,8.4,-78.14,83.81,85,3.94,80
393,Vanimo,PG,1529261960,-2.67,141.3,84.43,100,7.63,88
394,Pontianak,ID,1529261960,-0.02,109.34,80.93,94,2.71,32
395,Sonkovo,RU,1529261960,57.78,37.16,70.21,45,5.61,44
396,Amga,RU,1529261961,60.89,131.98,54.19,76,4.94,8
397,Capoterra,IT,1529259600,39.18,8.97,77.0,53,16.11,0
398,Stonewall,CA,1529258400,50.13,-97.33,73.4,49,12.75,75
399,Krabi,TH,1529258400,8.06,98.92,80.6,100,5.82,90
400,Young,AU,1529261961,-34.31,148.3,40.88,92,13.22,0
401,Rosarito,MX,1529257740,27.04,-109.91,91.4,29,2.24,5
402,Mbanza-Ngungu,CD,1529261961,-5.25,14.87,75.43,78,6.29,0
403,Sinnamary,GF,1529261962,5.38,-52.96,81.83,93,9.86,68
404,Ghanzi,BW,1529261550,-21.7,21.65,58.24,43,6.17,0
405,Ust-Tsilma,RU,1529261962,65.44,52.15,54.83,72,2.71,32
406,Buala,SB,1529261534,-8.15,159.59,79.31,100,7.18,48
407,Gus-Zheleznyy,RU,1529261962,55.05,41.16,65.63,70,2.93,64
408,Deputatskiy,RU,1529261578,69.3,139.9,46.18,72,2.93,0
409,Kitimat,CA,1529258400,54.02,-128.69,69.8,49,5.82,20
410,Nyurba,RU,1529261962,63.29,118.35,57.71,45,4.38,48
411,Bako,ET,1529261963,5.83,36.63,64.28,90,1.7,64
412,Korla,CN,1529261963,41.76,86.15,63.19,90,7.63,92
413,Biak,ID,1529261556,-0.91,122.88,76.61,99,4.38,44
414,Igdir,TR,1529260200,39.92,44.05,73.4,40,9.17,20
415,Selizharovo,RU,1529261963,56.86,33.45,69.68,49,5.06,44
416,Moussoro,TD,1529261963,13.64,16.49,95.33,35,7.63,8
417,Bethel,US,1529257980,60.79,-161.76,50.0,93,9.17,90
418,Asyut,EG,1529258400,27.18,31.19,95.0,28,11.41,0
419,Chegdomyn,RU,1529261964,51.13,133.04,51.58,97,6.85,92
420,Davila,PH,1529258400,18.47,120.58,82.4,83,9.17,40
421,Alekseyevskoye,RU,1529261964,45.2,43.58,71.21,61,8.08,92
422,Uyemskiy,RU,1529260200,64.47,40.85,64.4,63,2.24,0
423,Black Diamond,CA,1529258400,50.69,-114.23,62.6,44,5.82,1
424,Sakaiminato,JP,1529258400,35.55,133.23,68.0,68,1.12,75
425,Nisia Floresta,BR,1529258400,-6.09,-35.21,80.6,78,11.41,75
426,Boca do Acre,BR,1529261965,-8.76,-67.39,78.41,62,4.16,0
427,Tongliao,CN,1529261965,43.61,122.27,67.16,90,10.87,36
428,Ponta Delgada,PT,1529260200,37.73,-25.67,71.6,83,8.05,40
429,Ulladulla,AU,1529258400,-35.36,150.48,50.0,76,12.75,90
430,Arcachon,FR,1529260200,44.65,-1.18,66.2,59,5.82,75
431,Hasaki,JP,1529258400,35.73,140.83,62.6,100,2.24,75
432,Vostok,RU,1529261966,46.45,135.83,57.43,99,2.37,92
433,Marawi,SD,1529261966,18.48,31.82,91.01,21,2.71,0
434,Dawlatabad,AF,1529261966,36.41,64.91,74.53,30,6.62,0
435,Altus,US,1529260800,34.64,-99.33,93.2,36,18.34,1
436,Sur,OM,1529261967,22.57,59.53,87.86,86,4.72,0
437,Bhainsa,IN,1529261967,26.95,76.9,94.24,32,7.4,92
438,Tuktoyaktuk,CA,1529258400,69.44,-133.03,35.6,100,5.82,20
439,Livingston,US,1529260680,45.66,-110.56,53.6,93,21.92,90
440,Nakano,JP,1529260200,35.72,139.66,68.0,88,3.36,75
441,Rupert,US,1529257980,42.62,-113.68,68.0,49,5.82,1
442,Rio Gallegos,AR,1529258400,-51.62,-69.22,44.6,65,3.36,0
443,Panguna,PG,1529261968,-6.32,155.48,71.66,91,3.15,20
444,Mackay,AU,1529258400,-21.15,149.2,50.0,81,6.93,32
445,Fortuna,US,1529260800,40.6,-124.16,62.6,72,11.41,1
446,Arrecife,ES,1529260200,28.96,-13.55,71.6,68,11.41,75
447,Kaitangata,NZ,1529261563,-46.28,169.85,33.94,78,2.37,80
448,Medina,US,1529261100,41.14,-81.86,91.4,52,10.29,40
449,Sergeyevka,RU,1529261968,43.34,133.36,52.39,98,1.81,100
450,Eyl,SO,1529261969,7.98,49.82,80.48,74,24.07,8
451,Bella Vista,PY,1529258400,-27.04,-55.58,60.8,41,5.82,0
452,Sitka,US,1529261969,37.17,-99.65,90.28,58,19.04,20
453,Anadyr,RU,1529258400,64.73,177.51,46.4,65,2.24,75
454,Awjilah,LY,1529261969,29.14,21.3,87.41,22,16.13,0
455,Hami,CN,1529261969,42.84,93.51,73.91,40,2.82,44
456,Braganca Paulista,BR,1529258400,-22.95,-46.54,75.2,72,5.82,75
457,Deming,US,1529260500,32.27,-107.76,78.8,33,11.41,75
458,Colares,PT,1529260200,38.8,-9.45,84.2,47,14.99,0
459,Simao,CN,1529261970,22.76,100.79,66.79,99,1.59,88
460,Omboue,GA,1529261970,-1.57,9.26,76.51,100,11.43,92
461,Clyde River,CA,1529258400,70.47,-68.59,46.4,81,3.36,20
462,Golkoy,TR,1529261970,40.69,37.62,64.63,78,1.7,12
463,Waddan,LY,1529261971,29.16,16.14,88.13,23,7.63,0
464,Erenhot,CN,1529261971,43.65,111.97,66.08,54,15.9,64
465,Kenora,CA,1529260500,49.76,-94.48,69.8,60,9.17,90
466,Igarka,RU,1529261546,67.47,86.57,69.41,46,9.42,24
467,Yulara,AU,1529258400,-25.24,130.99,39.2,69,6.93,0
468,Bay Roberts,CA,1529258400,47.58,-53.28,42.8,81,6.93,75
469,Leningradskiy,RU,1529261550,69.38,178.42,32.59,96,18.25,0
470,Nancha,CN,1529261971,47.14,129.26,55.91,92,2.04,92
471,Prachuap Khiri Khan,TH,1529261972,11.81,99.79,72.56,97,5.84,92
472,Fayaoue,NC,1529261972,-20.65,166.53,74.18,100,8.97,92
473,Vostochnyy,RU,1529260200,55.82,37.87,68.0,59,6.71,0
474,Beyneu,KZ,1529261972,45.32,55.19,74.81,18,12.88,0
475,Sambava,MG,1529261972,-14.27,50.17,75.88,100,18.48,20
476,Sabang,ID,1529261972,1.17,120.82,83.26,100,2.59,0
477,Te Anau,NZ,1529261973,-45.41,167.72,32.51,83,3.49,92
478,Tonaya,MX,1529261973,19.79,-103.97,71.48,88,2.37,24
479,Alofi,NU,1529258400,-19.06,-169.92,68.0,88,6.93,92
480,Longyearbyen,SJ,1529257800,78.22,15.64,37.4,96,17.22,75
481,Solano,CO,1529261973,0.7,-75.25,74.08,89,3.27,88
482,Tottori,JP,1529261973,35.5,134.23,60.58,98,2.15,100
483,Jaguaribe,BR,1529261974,-5.88,-38.62,90.19,38,5.61,36
484,Abha,SA,1529258400,18.22,42.5,80.6,57,0.92,0
485,Khartoum,SD,1529260200,15.59,32.54,87.8,40,4.7,0
486,Reinosa,ES,1529260200,43.0,-4.14,68.0,72,3.36,0
487,Suzhou,CN,1529261974,33.65,116.96,74.98,70,7.96,100
488,Esperance,AU,1529261974,-33.86,121.89,59.14,41,22.73,0
489,Roma,AU,1529261974,-26.57,148.79,37.01,72,9.75,0
490,Rocha,UY,1529261975,-34.48,-54.34,55.28,71,8.19,0
491,Dom Pedrito,BR,1529261975,-30.98,-54.67,55.63,76,4.61,0
492,Dharchula,IN,1529261975,29.85,80.53,49.43,91,1.7,68
493,Palana,RU,1529261975,59.08,159.95,38.63,90,2.37,0
494,Aguas Formosas,BR,1529261975,-17.08,-40.94,75.43,62,4.72,0
495,Zaysan,KZ,1529261975,47.47,84.87,60.23,76,3.94,92
496,Hailun,CN,1529261976,47.46,126.97,63.83,74,4.61,88
497,Daru,PG,1529261976,-9.07,143.21,77.59,99,14.45,92
498,Dwarka,IN,1529258400,28.58,77.04,87.8,58,6.93,20
499,Florianopolis,BR,1529258400,-27.6,-48.55,62.6,77,3.36,75
500,Santa Vitoria do Palmar,BR,1529261976,-33.52,-53.37,56.36,87,8.52,0
501,Craig,US,1529260500,40.52,-107.55,73.4,63,6.93,75
502,Namibe,AO,1529261537,-15.19,12.15,69.31,100,8.08,0
503,Cherskiy,RU,1529261534,68.75,161.3,42.94,64,2.37,20
504,Havre-Saint-Pierre,CA,1529258400,50.23,-63.6,55.4,50,13.87,1
505,Bahir Dar,ET,1529261977,11.59,37.39,58.61,87,1.03,32
506,Catia La Mar,VE,1529258400,10.6,-67.03,86.0,70,4.7,40
507,Merauke,ID,1529261977,-8.49,140.4,77.23,96,13.67,44
508,Bogorodskoye,RU,1529261543,52.37,140.44,46.63,95,6.06,92
509,Hithadhoo,MV,1529261562,-0.6,73.08,83.81,100,7.85,92
510,Pasni,PK,1529261977,25.26,63.48,85.96,92,15.01,0
511,Albany,AU,1529261478,-35.02,117.88,63.11,50,23.51,44
512,Iguape,BR,1529261978,-24.7,-47.56,63.01,100,12.55,92
513,Acajutla,SV,1529257800,13.59,-89.83,87.8,74,4.7,40
514,Liberal,US,1529260200,37.04,-100.92,80.6,57,19.46,1
515,Mandalgovi,MN,1529261978,45.76,106.27,55.28,53,11.43,0
516,Yebaishou,CN,1529261978,41.4,119.64,66.16,87,7.52,0
517,El Tocuyo,VE,1529259240,9.79,-69.8,71.6,100,3.36,90
518,Dickinson,US,1529258160,46.88,-102.79,64.4,63,12.75,75
519,Manono,CD,1529261979,-7.3,27.4,77.86,31,10.76,0
520,Ambon,ID,1529261979,-3.7,128.18,77.78,100,4.94,88
521,Boende,CD,1529261979,-0.28,20.88,81.28,66,3.38,12
522,Svetlogorsk,RU,1529260200,53.14,59.15,50.0,81,8.95,40
523,Porto Velho,BR,1529258400,-8.75,-63.87,82.4,51,11.41,20
524,Luchegorsk,RU,1529261980,46.44,134.3,59.68,96,5.73,76
525,Avarua,CK,1529258400,-21.21,-159.78,73.4,73,11.41,40
526,Barguzin,RU,1529261980,53.62,109.63,40.88,90,2.04,0
527,Mar del Plata,AR,1529261549,-46.43,-67.52,55.81,57,16.46,44
528,Uige,AO,1529261980,-7.61,15.06,71.66,63,2.71,8
529,Jalu,LY,1529261981,29.03,21.55,89.66,21,16.8,0
530,Carahue,CL,1529261981,-38.71,-73.16,54.38,95,2.93,68
531,Watrous,CA,1529261981,51.67,-105.46,71.93,57,4.83,8
532,Mehamn,NO,1529257800,71.03,27.85,46.4,75,9.17,0
533,Dikson,RU,1529261981,73.51,80.55,32.68,97,2.04,76
534,Lincoln,NZ,1529258400,-43.64,172.49,44.6,93,3.36,80
535,Sorong,ID,1529261981,-0.86,131.25,79.31,100,3.38,56
536,Salamiyah,SY,1529261982,35.01,37.05,70.21,49,14.79,0
537,Ust-Kut,RU,1529261982,56.78,105.75,51.23,86,2.48,0
538,Boa Esperanca,BR,1529261982,-1.91,-60.0,84.26,73,3.27,32
539,Novoagansk,RU,1529261982,61.94,76.66,49.43,94,4.61,0
540,Ola,RU,1529258400,59.58,151.3,42.8,93,1.7,90
541,Naryan-Mar,RU,1529261982,67.67,53.09,52.39,51,6.06,8
542,Thompson,CA,1529258400,55.74,-97.86,68.0,42,14.99,75
543,Koszeg,HU,1529261983,47.39,16.54,72.73,64,11.54,8
544,Norman Wells,CA,1529258400,65.28,-126.83,60.8,77,11.41,75
545,Gamba,GA,1529261983,-2.72,10.02,76.61,94,10.2,92
546,Caravelas,BR,1529261983,-17.73,-39.27,75.98,100,12.33,0
547,Luderitz,NA,1529261983,-26.65,15.16,53.74,91,3.71,0
548,Magaria,NE,1529261984,13.0,8.91,95.51,43,2.93,20
549,Ust-Kulom,RU,1529261984,61.69,53.69,60.86,59,6.17,68
550,Hailar,CN,1529261984,49.2,119.7,53.56,96,5.61,92
551,Orguz,BA,1529260200,43.77,16.86,75.2,73,4.7,40
552,Harper,LR,1529261984,4.38,-7.71,77.96,100,12.21,92
553,Fethiye,TR,1529259600,36.62,29.12,73.4,78,2.15,40
554,Abatskoye,RU,1529261985,56.29,70.46,45.11,94,2.93,0
555,Jamestown,SH,1529261985,-15.94,-5.72,69.41,100,12.66,20
556,Falkenberg,SE,1529259600,56.9,12.49,62.6,59,9.17,40
557,Chicama,PE,1529258400,-7.84,-79.15,66.2,82,11.41,90
558,Kirakira,SB,1529261985,-10.46,161.92,79.58,100,15.46,68
559,La Cruz,MX,1529261713,23.92,-106.89,90.83,53,4.05,0
560,Pervomayskoye,RU,1529261986,57.07,86.23,63.56,64,11.43,56
561,Bouar,CF,1529261986,5.94,15.59,76.96,67,3.94,8
562,Hvide Sande,DK,1529259600,56.01,8.13,59.0,72,16.11,44
563,Marsh Harbour,BS,1529261986,26.54,-77.06,81.83,100,4.83,32
564,Urman,RU,1529261986,54.88,56.87,52.39,85,2.37,56
565,Les Cayes,HT,1529261986,18.19,-73.75,84.08,92,14.0,0
566,Ladario,BR,1529258400,-19.0,-57.6,75.2,53,10.29,0
567,Ranong,TH,1529258400,9.96,98.62,78.8,94,6.93,75
568,Boddam,GB,1529259600,57.47,-1.78,59.0,72,14.99,32
569,Kingman,US,1529258160,35.19,-114.05,91.4,17,15.23,0
570,Hofn,IS,1529261573,64.25,-15.21,46.01,100,20.04,92
571,Ushuaia,AR,1529258400,-54.81,-68.31,41.0,84,3.36,0
572,Brejo,BR,1529261987,-3.68,-42.75,86.59,71,5.17,0
573,Nayoro,JP,1529261988,44.36,142.46,51.23,97,4.61,88
574,Prince Rupert,CA,1529261700,54.32,-130.32,57.2,87,4.7,90
575,Kvarkeno,RU,1529261988,52.08,59.73,50.14,77,6.17,8
576,Trujillo,CO,1529258400,4.21,-76.32,80.6,61,2.04,75
577,Druskininkai,LT,1529261988,54.02,23.98,77.51,45,1.81,80
578,Upernavik,GL,1529261554,72.79,-56.15,32.68,96,6.62,68
579,Imbituba,BR,1529258400,-28.24,-48.67,62.6,77,3.36,75
580,Beremend,HU,1529260200,45.78,18.43,64.4,93,11.41,75
581,Bandarbeyla,SO,1529261579,9.49,50.81,76.43,87,33.46,8
582,Vienna,US,1529261580,39.32,-81.55,91.4,58,3.83,20
583,High Level,CA,1529258400,58.52,-117.13,73.4,43,6.93,75
584,Mago,RU,1529261989,53.27,140.15,50.33,80,6.4,92
585,Biskamzha,RU,1529261989,53.45,89.53,54.64,68,3.6,0
586,Sao Jose,BR,1529261990,-2.09,-48.17,75.08,100,6.06,92
587,Teofilo Otoni,BR,1529261911,-17.86,-41.51,77.78,56,8.19,24
588,The Pas,CA,1529258400,53.82,-101.24,69.8,40,9.17,75
589,Matias Romero,MX,1529261990,16.88,-95.03,81.19,65,11.65,92
590,Tasiilaq,GL,1529257800,65.61,-37.64,39.2,100,5.82,0
591,Kathmandu,NP,1529259600,27.71,85.32,68.0,100,1.92,75
592,Meulaboh,ID,1529261565,4.14,96.13,77.33,100,1.03,92
593,Bonthe,SL,1529261568,7.53,-12.5,75.26,100,8.41,92
594,Taltal,CL,1529261990,-25.41,-70.49,67.06,74,2.71,0
595,Haimen,CN,1529261990,31.87,121.18,73.54,94,10.42,76
596,Bredasdorp,ZA,1529258400,-34.53,20.04,57.2,82,23.04,92
597,Roebourne,AU,1529261991,-20.77,117.15,57.98,76,3.15,0
598,Atambua,ID,1529261991,-9.11,124.89,76.61,100,13.67,44
599,Antigonish,CA,1529258400,45.62,-61.99,59.0,58,6.93,1
600,Karpathos,GR,1529259600,35.51,27.21,75.2,73,9.17,20
601,Vigrestad,NO,1529259600,58.57,5.7,57.2,82,6.93,40
602,Kuytun,RU,1529261991,54.34,101.51,49.69,90,2.26,0
603,Bogashevo,RU,1529261992,56.37,85.14,66.53,58,8.63,80
604,Saint-Francois,GP,1529260200,16.25,-61.27,87.8,58,14.99,90
605,Hobart,AU,1529258400,-42.88,147.33,44.6,87,12.75,20
606,Yatou,CN,1529261571,33.81,104.32,54.01,100,1.59,92
607,Manzhouli,CN,1529261992,49.6,117.43,53.93,88,3.6,80
608,Pozo Colorado,PY,1529261992,-23.49,-58.8,55.54,69,5.73,92
609,Yinchuan,CN,1529261992,38.48,106.21,63.83,83,7.63,80
610,Ketou,BJ,1529261992,7.36,2.6,79.03,88,3.6,64
611,Danshui,CN,1529261993,22.81,114.46,77.51,100,2.48,20
612,Nacala,MZ,1529261993,-14.56,40.69,79.13,88,8.97,12
613,Olinda,BR,1529258400,-22.82,-43.41,75.2,73,11.41,75
614,Atuona,PF,1529261572,-9.8,-139.03,79.21,100,18.03,80
615,Chokurdakh,RU,1529261530,70.62,147.9,33.68,88,10.65,20
616,Basoko,CD,1529261993,1.23,23.61,83.63,65,4.94,44
617,New Norfolk,AU,1529258400,-42.78,147.06,44.6,87,12.75,20
618,Den Helder,NL,1529259900,52.96,4.76,60.8,82,13.87,90
619,Burns Lake,CA,1529261994,54.23,-125.76,67.06,51,2.71,0
620,Mezhdurechensk,RU,1529261553,53.69,88.07,60.04,58,4.72,0
621,Outlook,CA,1529261994,51.48,-107.04,71.11,64,4.61,0
622,Matadi,CD,1529261994,-5.83,13.46,79.93,68,8.75,0
623,La Ronge,CA,1529258400,55.1,-105.3,73.4,38,8.05,75
624,Zdunska Wola,PL,1529260200,51.6,18.94,75.2,41,2.24,0
625,Vila Velha,BR,1529258400,-3.71,-38.6,84.2,70,14.99,20
626,Kruisfontein,ZA,1529261994,-34.0,24.73,63.11,75,8.19,12
627,Le Port,RE,1529260200,-20.94,55.29,71.6,78,4.16,12
628,Khatanga,RU,1529261995,71.98,102.47,54.83,51,15.01,0
629,Vangaindrano,MG,1529261995,-23.35,47.6,65.81,90,5.84,48
630,Altay,CN,1529261560,47.83,88.13,52.39,65,2.26,80
631,Tambovka,RU,1529261995,47.32,47.38,70.13,33,7.74,0
632,San Lorenzo de El Escorial,ES,1529260200,40.59,-4.15,87.8,26,9.17,0
633,Chepareria,KE,1529261995,1.32,35.2,60.04,98,1.92,92
634,Saint-Augustin,CA,1529258400,45.63,-73.98,84.2,54,11.41,75
635,Whitehorse,CA,1529259660,60.72,-135.06,66.2,29,16.11,75
636,Chauk,MM,1529261996,20.89,94.82,79.03,83,7.74,0
637,Diamantino,BR,1529261566,-14.4,-56.44,75.79,62,6.29,0
638,Keelung,TW,1529260200,25.13,121.74,82.4,94,1.12,75
639,Ponta do Sol,CV,1529261573,17.2,-25.09,70.76,100,12.55,0
640,Tuatapere,NZ,1529261554,-46.13,167.69,41.06,100,3.27,76
641,Victoria,SC,1529258400,-4.62,55.45,80.6,83,9.17,20
642,Qaanaaq,GL,1529261996,77.48,-69.36,32.14,99,2.82,92
643,Iqaluit,CA,1529258400,63.75,-68.52,44.6,65,4.7,75
644,Rio Grande,BR,1529258400,-32.03,-52.1,57.2,67,4.7,40
645,Zhigansk,RU,1529261996,66.77,123.37,52.39,48,4.61,0
646,Cauquenes,CL,1529261997,-35.97,-72.32,55.91,94,4.27,8
647,Kieta,PG,1529261997,-6.22,155.63,75.98,100,3.04,88
648,Atbasar,KZ,1529261997,51.81,68.36,54.11,46,8.41,32
649,Paamiut,GL,1529261997,61.99,-49.67,36.73,100,12.55,76
650,Baoning,CN,1529258400,25.34,110.03,77.0,94,4.47,0
651,Olga,RU,1529261997,43.74,135.29,43.58,88,2.15,0
652,Mporokoso,ZM,1529261998,-9.37,30.12,68.23,40,8.97,0
653,Tomesti,RO,1529260200,47.12,27.68,66.2,93,4.7,75
654,Glendora,US,1529260800,34.14,-117.87,69.8,67,6.93,90
655,Chechen-Aul,RU,1529261998,43.2,45.79,62.83,97,2.82,92
656,Clarence Town,BS,1529261998,23.1,-74.98,82.63,98,8.41,0
657,Surt,LY,1529261536,31.21,16.59,74.81,84,7.4,0
658,Ucluelet,CA,1529258400,48.94,-125.55,66.2,59,5.82,40
659,Takoradi,GH,1529261552,4.89,-1.75,77.78,100,12.44,92
660,Woodstock,CA,1529258400,43.13,-80.75,89.6,62,12.75,75
661,Iquitos,PE,1529258400,-3.75,-73.25,75.2,73,8.05,75
662,Massakory,TD,1529261999,13.0,15.73,90.38,50,6.06,32
663,Lensk,RU,1529261999,60.71,114.91,49.78,92,2.37,24
664,Nshamba,TZ,1529261999,-1.8,31.55,72.56,87,3.49,0
665,College,US,1529260380,64.86,-147.8,62.6,77,3.36,90
666,Kavaratti,IN,1529262000,10.57,72.64,83.71,98,18.25,92
667,Beterou,BJ,1529262000,9.2,2.26,75.34,96,9.19,76
668,Sola,VU,1529261579,-13.88,167.55,78.86,99,14.45,88
669,Klaksvik,FO,1529259600,62.23,-6.59,50.0,87,14.99,88
670,Shilovo,RU,1529260200,51.55,39.09,59.0,67,5.95,0
671,Jutai,BR,1529262000,-1.71,-47.89,75.08,100,6.06,92
672,Eureka,US,1529260800,40.8,-124.16,62.6,72,11.41,1
673,Comodoro Rivadavia,AR,1529258400,-45.87,-67.48,60.8,51,23.04,0
674,Shache,CN,1529262003,38.42,77.24,67.16,57,9.53,0
675,Naukot,PK,1529262039,26.04,69.12,91.99,49,17.69,12
676,Leh,IN,1529261544,34.16,77.58,31.96,100,1.03,92
677,Gashua,NG,1529262040,12.87,11.04,95.33,31,5.17,20
678,Qasigiannguit,GL,1529257800,68.82,-51.19,44.6,82,4.7,75
679,Weiser,US,1529257980,44.25,-116.97,60.8,72,4.7,90
680,Brigantine,US,1529258160,39.41,-74.36,87.8,40,9.17,1
681,Borodyanka,UA,1529260200,50.64,29.92,73.4,83,4.47,32
682,Kuala Kedah,MY,1529258400,6.11,100.29,78.8,100,3.36,75
683,Pocoes,BR,1529258400,-14.53,-40.37,71.6,56,14.99,20
684,Huarmey,PE,1529262009,-10.07,-78.15,75.79,49,4.83,0
685,Port Macquarie,AU,1529258400,-31.43,152.91,51.8,53,10.29,40
686,Sao Jose da Coroa Grande,BR,1529262044,-8.9,-35.15,79.84,84,8.97,8
687,Shingu,JP,1529262010,33.72,135.99,70.93,100,15.68,92
688,Pavilosta,LV,1529261400,56.89,21.19,66.2,68,7.29,0
689,Komsomolskiy,RU,1529262011,67.55,63.78,42.23,79,18.03,0
690,Salalah,OM,1529257800,17.01,54.1,82.4,88,6.93,75
691,Bocaiuva,BR,1529258400,-17.12,-43.81,82.4,30,4.7,0
692,Kununurra,AU,1529258400,-15.77,128.74,66.2,34,5.82,0
693,Kurilsk,RU,1529262012,45.23,147.88,45.28,96,10.65,92
694,Viedma,AR,1529262013,-40.81,-62.99,66.26,50,14.12,0
695,Ribas do Rio Pardo,BR,1529262013,-20.45,-53.76,74.98,67,7.63,0
696,Flinders,AU,1529258400,-34.58,150.85,50.0,76,12.75,90
697,Isla Vista,US,1529260500,34.41,-119.86,64.4,63,10.29,90
698,Zvishavane,ZW,1529262049,-20.32,30.05,55.01,93,5.84,0
699,Tyumentsevo,RU,1529262015,53.32,81.5,61.39,87,2.71,44
700,Terrace,CA,1529258400,54.52,-128.61,69.8,49,5.82,20
701,Nikolskoye,RU,1529260200,59.7,30.79,69.8,56,8.95,0
702,Qingyuan,CN,1529262050,27.62,119.06,70.03,84,1.7,92
703,Roald,NO,1529259600,62.58,6.12,64.4,87,5.28,20
704,Povenets,RU,1529262051,62.85,34.83,69.31,46,6.06,24
705,Honavar,IN,1529262018,14.28,74.45,74.36,100,6.62,92
706,Accra,GH,1529258400,5.56,-0.21,82.4,74,21.92,75
707,Guaimaca,HN,1529258400,14.53,-86.82,82.4,61,11.41,75
708,Kidal,ML,1529262053,18.44,1.41,105.49,11,5.61,24
709,Noumea,NC,1529260200,-22.28,166.46,62.6,93,1.12,0
710,Kyra,RU,1529262020,49.58,111.97,47.71,83,5.73,0
711,East London,ZA,1529258400,-33.02,27.91,69.8,84,6.93,0
712,Russell,NZ,1529262021,-35.26,174.12,56.18,92,13.67,20
713,Peniche,PT,1529260200,39.36,-9.38,78.8,47,14.99,0
714,Santa Rosa,BO,1529262021,-20.7,-64.83,52.39,65,2.37,0
715,Port Elizabeth,ZA,1529260020,-33.92,25.57,62.6,33,6.93,0
716,Mitu,CO,1529262022,1.2,-70.17,73.28,99,3.04,88
717,Rantepao,ID,1529262022,-2.97,119.9,59.41,100,1.92,24
718,La Rioja,AR,1529262055,-29.41,-66.86,54.83,72,4.05,0
719,Bandar-e Lengeh,IR,1529258400,26.56,54.88,86.0,79,9.17,0
720,Lazaro Cardenas,MX,1529257260,28.39,-105.62,82.4,30,5.28,40
721,Kargopol,RU,1529262023,61.51,38.95,71.66,56,1.92,76
722,Hervey Bay,AU,1529261922,-25.3,152.85,53.66,100,15.01,0
723,Praia,CV,1529258400,14.92,-23.51,75.2,64,23.04,75
724,Pinega,RU,1529262024,64.7,43.39,70.93,45,2.71,24
725,Victoria Falls,ZW,1529262024,-17.93,25.84,56.63,42,3.94,0
726,Waingapu,ID,1529261553,-9.65,120.26,73.46,88,11.65,0
727,Cap Malheureux,MU,1529258400,-19.98,57.61,75.2,83,13.78,75
728,Vallenar,CL,1529262059,-28.58,-70.76,68.33,61,2.15,0
729,Sisimiut,GL,1529261550,66.94,-53.67,36.28,95,1.81,32
730,Tinaquillo,VE,1529258400,9.92,-68.31,73.4,88,9.17,40
731,Verkh-Usugli,RU,1529262025,52.7,115.17,48.43,79,2.37,56
732,Ndele,CF,1529262025,8.41,20.65,80.56,82,2.82,0
733,Mahebourg,MU,1529258400,-20.41,57.7,75.2,83,6.73,75
734,Warka,PL,1529260200,51.79,21.18,77.0,44,3.36,0
735,Bima,ID,1529262027,-8.45,118.73,70.03,100,3.83,0
736,Isangel,VU,1529262027,-19.55,169.27,74.63,100,12.77,20
737,Nakamura,JP,1529260200,35.17,136.87,68.0,88,10.29,75
738,Dalby,AU,1529258400,-27.18,151.26,30.2,74,9.98,0
739,Araripe,BR,1529262027,-7.21,-40.14,83.98,44,12.66,0
740,Mount Gambier,AU,1529261910,-37.83,140.78,48.79,77,4.5,92
741,Chenghai,CN,1529258400,23.46,116.77,75.2,100,6.71,90
742,Beringovskiy,RU,1529261572,63.05,179.32,38.89,100,2.82,88
743,Edgewater,US,1529260380,28.99,-80.9,91.4,70,13.87,40
744,Hobyo,SO,1529262029,5.35,48.53,77.51,75,20.83,0
745,Erzin,RU,1529262029,50.26,95.16,46.54,71,2.59,0
746,Birjand,IR,1529258400,32.86,59.22,80.6,10,4.7,0
747,Cape Town,ZA,1529258400,-33.93,18.42,55.4,93,10.29,90
748,Arkhipo-Osipovka,RU,1529262029,44.37,38.53,71.66,72,9.42,64
749,La Sarre,CA,1529262029,48.8,-79.2,72.38,82,13.0,76
750,Polunochnoye,RU,1529262030,60.87,60.43,58.88,79,12.21,8
751,Rawson,AR,1529261566,-43.3,-65.11,66.26,46,12.77,20
